# radius        density         temperature       velocity          h          he          c           n           o           ne           mg           si          s          ar          ca          ti          cr           fe           ni          fe52
     1.464844e+10       2.286464e+00       3.984415e+07       3.498759e+07       8.543020e-14       2.568197e-02       9.918924e-06       0.000000e+00       1.070295e-08       2.575487e-08       5.568704e-08       1.820046e-06       2.747841e-06       6.789657e-06       3.535964e-05       7.232303e-05       7.264387e-05       4.408255e-02       1.344809e-04       9.298993e-01
     1.472656e+10       2.277975e+00       3.978398e+07       3.498759e+07       8.543658e-14       2.568224e-02       9.919265e-06       0.000000e+00       1.070330e-08       2.575664e-08       5.569142e-08       1.820152e-06       2.747950e-06       6.789877e-06       3.536003e-05       7.232353e-05       7.264782e-05       4.407426e-02       1.344810e-04       9.299073e-01
     1.480469e+10       2.271125e+00       3.972869e+07       3.498759e+07       8.544287e-14       2.568250e-02       9.919601e-06       0.000000e+00       1.070365e-08       2.575836e-08       5.569572e-08       1.820257e-06       2.748058e-06       6.790096e-06       3.536041e-05       7.232401e-05       7.265171e-05       4.406619e-02       1.344811e-04       9.299151e-01
     1.492188e+10       2.265901e+00       3.966854e+07       3.498759e+07       8.545220e-14       2.568289e-02       9.920098e-06       0.000000e+00       1.070416e-08       2.576086e-08       5.570206e-08       1.820413e-06       2.748219e-06       6.790419e-06       3.536097e-05       7.232471e-05       7.265747e-05       4.405436e-02       1.344813e-04       9.299266e-01
     1.507812e+10       2.257715e+00       3.959055e+07       3.498759e+07       8.546447e-14       2.568338e-02       9.920749e-06       0.000000e+00       1.070483e-08       2.576411e-08       5.571037e-08       1.820619e-06       2.748431e-06       6.790845e-06       3.536170e-05       7.232562e-05       7.266503e-05       4.403894e-02       1.344815e-04       9.299415e-01
     1.523438e+10       2.250393e+00       3.950076e+07       3.498759e+07       8.547660e-14       2.568385e-02       9.921390e-06       0.000000e+00       1.070549e-08       2.576730e-08       5.571856e-08       1.820821e-06       2.748641e-06       6.791265e-06       3.536242e-05       7.232652e-05       7.267248e-05       4.402381e-02       1.344817e-04       9.299561e-01
     1.539062e+10       2.243795e+00       3.942257e+07       3.498759e+07       8.548834e-14       2.568428e-02       9.921998e-06       0.000000e+00       1.070613e-08       2.577025e-08       5.572629e-08       1.821015e-06       2.748843e-06       6.791666e-06       3.536313e-05       7.232738e-05       7.267962e-05       4.400962e-02       1.344819e-04       9.299699e-01
     1.554688e+10       2.236314e+00       3.934635e+07       3.498759e+07       8.549946e-14       2.568465e-02       9.922551e-06       0.000000e+00       1.070673e-08       2.577280e-08       5.573328e-08       1.821195e-06       2.749034e-06       6.792039e-06       3.536380e-05       7.232818e-05       7.268623e-05       4.399700e-02       1.344820e-04       9.299821e-01
     1.578125e+10       2.223018e+00       3.925408e+07       3.498759e+07       8.551480e-14       2.568504e-02       9.923266e-06       0.000000e+00       1.070754e-08       2.577573e-08       5.574212e-08       1.821434e-06       2.749295e-06       6.792536e-06       3.536475e-05       7.232924e-05       7.269501e-05       4.398152e-02       1.344822e-04       9.299972e-01
     1.609375e+10       2.202631e+00       3.912566e+07       3.498759e+07       8.553369e-14       2.568542e-02       9.924089e-06       0.000000e+00       1.070852e-08       2.577871e-08       5.575208e-08       1.821717e-06       2.749614e-06       6.793129e-06       3.536597e-05       7.233049e-05       7.270544e-05       4.396461e-02       1.344824e-04       9.300137e-01
